Governorat,Delegation,nb Officines,nb Liste
ARIANA,CITE ETTADHAMEN,11,22
ARIANA,COMMUNE ARIANA,37,69
ARIANA,EL MNIHLA,11,74
ARIANA,KALAAT ANDALOUS,4,34
ARIANA,RAOUED,23,88
ARIANA,SIDI THABET,4,30
ARIANA,SOUKRA,23,70
BEJA,AMDOUN,1,4
BEJA,BEJA NORD,10,9
BEJA,BEJA SUD,6,10
BEJA,GOUBELLAT,1,2
BEJA,MEJEZ EL BAB,6,8
BEJA,NEFZA,4,7
BEJA,TEBOURSOUK,2,4
BEJA,TESTOUR,4,5
BEJA,THIBAR,1,2
BEN AROUS,BEN AROUS,10,20
BEN AROUS,BOUMHEL BASSATINE,8,30
BEN AROUS,EL MOUROUJ,24,44
BEN AROUS,EZZAHRA,10,27
BEN AROUS,FOUCHANA,15,33
BEN AROUS,HAMMAM CHATT,5,17
BEN AROUS,HAMMAM LIF,13,21
BEN AROUS,M'HAMDIA,10,33
BEN AROUS,MEDINA JEDIDA,14,30
BEN AROUS,MEGRINE,8,23
BEN AROUS,MORNAG,9,35
BEN AROUS,RADES,20,38
BIZERTE,BIZERTE NORD,24,30
BIZERTE,BIZERTE SUD,5,13
BIZERTE,EL ALIA,5,10
BIZERTE,GHAR EL MELH,3,6
BIZERTE,GHEZALA,2,5
BIZERTE,JARZOUNA,2,5
BIZERTE,JOUMINE,2,1
BIZERTE,MATEUR,8,9
BIZERTE,MENZEL BOURGUIBA,17,18
BIZERTE,MENZEL JEMIL,7,9
BIZERTE,RAS JEBEL,8,15
BIZERTE,SEJNANE,5,5
BIZERTE,TINJA,3,6
BIZERTE,UTIQUE,1,15
GABES,DKHILET TOUJANE,1,2
GABES,EL HAMMA,6,6
GABES,EL HAMMA OUEST,2,4
GABES,GABES MEDINA (EST),20,19
GABES,GABES OUEST,6,10
GABES,GABES SUD,8,29
GABES,GHANNOUCH,4,6
GABES,MARETH,7,7
GABES,MATMATA,,0
GABES,MATMATA JADIDA,1,4
GABES,MENZEL HABIB,1,2
GABES,METOUIA,2,5
GABES,OUEDHREF,2,3
GAFSA,BEL KHIR,1,2
GAFSA,EL GUETAR,1,2
GAFSA,EL KSAR,2,6
GAFSA,GAFSA NORD,1,3
GAFSA,GAFSA SUD,19,15
GAFSA,M'DHILLA,2,2
GAFSA,METLAOUI,5,4
GAFSA,OUM LARAIES,3,3
GAFSA,REDEYEF,3,2
GAFSA,SENED,3,1
GAFSA,SIDI BOUBAKER,,0
GAFSA,SIDI YAICH,1,1
GAFSA,ZANOUCH,1,1
JENDOUBA,AIN DRAHEM,2,3
JENDOUBA,BALTA BOUAOUAN,3,2
JENDOUBA,BOUSALEM,6,8
JENDOUBA,FERNANA,3,4
JENDOUBA,GHARDIMAOU,5,5
JENDOUBA,JENDOUBA,13,14
JENDOUBA,JENDOUBA NORD,4,4
JENDOUBA,OUED MELIZ,1,2
JENDOUBA,TABARKA,9,10
KAIROUAN,AIN JLOULA,1,1
KAIROUAN,CHEBIKA,3,4
KAIROUAN,CHERARDA,3,4
KAIROUAN,EL ALA,2,1
KAIROUAN,HAFFOUZ,4,3
KAIROUAN,HAJEB ELAYOUN,2,4
KAIROUAN,KAIROUAN NORD,21,26
KAIROUAN,KAIROUAN SUD,13,16
KAIROUAN,MENZEL MHIRI,1,4
KAIROUAN,OUESLATIA,2,2
KAIROUAN,SBIKHA,5,4
KAIROUAN,SIDI ALI BEN NASRALLAH,2,4
KAIROUAN,SIDI AMOR BOUHAJLA,6,8
KASSERINE,EL AYOUN,1,1
KASSERINE,EZZOUHOUR,3,3
KASSERINE,FERIANA,5,2
KASSERINE,FOUSSANA,3,3
KASSERINE,HAIDRA,1,1
KASSERINE,HASSI FERID,1,1
KASSERINE,JEDLIANE,,0
KASSERINE,KASSERINE NORD,14,10
KASSERINE,KASSERINE SUD,1,3
KASSERINE,MAJEL BEL ABBES,2,3
KASSERINE,SBEITLA,7,6
KASSERINE,SBIBA,3,2
KASSERINE,THALA,3,2
KEBILI,DOUZ NORD,3,6
KEBILI,DOUZ SUD,2,3
KEBILI,FAOUAR,,0
KEBILI,KEBILI NORD,4,7
KEBILI,KEBILI SUD,4,5
KEBILI,RJIM MAATOUG,,0
KEBILI,SOUK LAHAD,2,4
LE KEF,DAHMANI,3,2
LE KEF,JERISSA,1,2
LE KEF,KALAAT KHASBA,1,1
LE KEF,KALAAT SENANE,2,1
LE KEF,KSOUR,1,3
LE KEF,LE KEF EST,9,10
LE KEF,LE KEF OUEST,3,5
LE KEF,NEBEUR,3,2
LE KEF,SAKIET SIDI YOUSSEF,1,1
LE KEF,SERS,3,2
LE KEF,TAJEROUINE,4,4
LE KEF,TOUIREF,1,2
MAHDIA,BOUMERDAS,3,4
MAHDIA,BRADAA,2,9
MAHDIA,CHEBBA,4,7
MAHDIA,CHORBANE,3,4
MAHDIA,EL JEM,7,12
MAHDIA,HBIRA,1,2
MAHDIA,KSOUR ESSAF,4,11
MAHDIA,MAHDIA,12,17
MAHDIA,MELLOULECHE,2,3
MAHDIA,OULED CHAMEKH,2,3
MAHDIA,REJICHE,2,7
MAHDIA,SIDI ALOUANE,4,4
MAHDIA,SOUASSI,6,5
MANOUBA,BORJ EL AMRI,3,14
MANOUBA,DOUAR HICHER,11,19
MANOUBA,EL BATTAN,2,11
MANOUBA,JEDEIDA,6,16
MANOUBA,MANOUBA,18,46
MANOUBA,MORNAGUIA,6,24
MANOUBA,OUED ELLIL,10,26
MANOUBA,TEBOURBA,7,14
MEDENINE,BEN GUERDANE,15,14
MEDENINE,BENI KHEDACHE,2,3
MEDENINE,HOUMT SOUK,21,38
MEDENINE,JERBA AJIM,2,6
MEDENINE,JERBA MIDOUN,18,28
MEDENINE,MEDENINE NORD,15,18
MEDENINE,MEDENINE SUD,5,16
MEDENINE,SIDI MAKHLOUF,2,1
MEDENINE,ZARZIS,17,21
MONASTIR,BEKALTA,3,8
MONASTIR,BEMBLA,4,7
MONASTIR,BENI HASSEN,2,6
MONASTIR,JEMMAL,12,20
MONASTIR,KSAR HELLAL,11,19
MONASTIR,KSIBET MEDIOUNI,5,8
MONASTIR,MOKNINE,14,17
MONASTIR,MONASTIR,30,58
MONASTIR,OUERDANINE,3,8
MONASTIR,SAHLINE,8,30
